showid,moviename,type,rating,year,duration,description
s185,Sparking Joy,TV Show,6,2021,1 Season,In this reality series Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life  and shares her own world
s186,Untold Crime & Penalties,Movie,5,2021,86 min,They were the bad boys of hockey  a team bought by a man with mob ties run by his 17yearold son and with a rep for being as violent as they were good
s187,Hometown ChaChaCha,TV Show,9,2021,1 Season,A bigcity dentist opens up a practice in a closeknit seaside village home to a charming jackofalltrades who is her polar opposite in every way
s188,The Ingenuity of the Househusband,TV Show,4,2021,1 Season,A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic liveaction vignettes
s189,2 Alone in Paris,Movie,6,2008,97 min,A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him even when theyre the last two men on Earth
s190,Bread Barbershop,TV Show,5,2020,2 Seasons,In a town filled with food Bread is a master cake decorator who gives lifechanging makeovers that will put any customer in an amazing mood
s191,Thimmarusu,Movie,5,2021,125 min,Eight years after a young man is framed for murder an upandcoming lawyer reopens the case beginning a tricky mission to find the real culprit
s192,Wind River,Movie,4,2017,107 min,A tracker with the US Fish and Wildlife Service assists a rookie FBI agent whos investigating a teen girls murder on a remote Wyoming reservation
s193,C Kkompany,Movie,8,2008,127 min,Three broke friends pose as an underworld gang for extortion but their plan takes on a life of its own when their phony company becomes famous
s194,DP,TV Show,9,2021,1 Season,A young privates assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty
s195,Deadly Sins,TV Show,8,2002,1 Season,A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see whos worthy of inheriting his fortune
s196,EMI Liya Hai To Chukana Padega,Movie,7,2008,128 min,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans
s197,Hes All That,Movie,4,2021,92 min,An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic Shes All That
s198,I Heart Arlo,TV Show,9,2021,1 Season,Its a whole new world for Arlo and his oneofa kind pals when they set out to restore a rundown New York City neighborhood  and make it their own
s199,King of Boys The Return of the King,TV Show,6,2021,1 Season,Alhaja Eniola Salami starts anew and sets her sights on a different position of power fueled by revenge regret and ruthlessness
s200,Koi Aap Sa,Movie,4,2006,135 min,Star athlete Rohan has his eye on a beautiful art student But when his best friend Simran experiences a crisis he drops everything to help her
s201,Krishna Cottage,Movie,4,2004,124 min,True love is put to the test when another woman comes between a pair of starcrossed young lovers in this thriller
s202,Kucch To Hai,Movie,4,2003,136 min,A student tries to steal a test from a teachers home leaving him for dead after an accident A string of murders may be the professors revenge
s203,Kyaa Kool Hai Hum,Movie,9,2005,165 min,Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true but both men are suddenly saddled with bad luck
s204,Kyaa Kool Hain Hum 3,Movie,8,2016,124 min,When an unlikely porn actor falls for a woman outside the industry he employs his costars as a standin traditional family to impress her father
s205,Kyaa Super Kool Hain Hum,Movie,5,2012,136 min,An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog
s206,Kyo Kii Main Jhuth Nahin Bolta,Movie,9,2001,150 min,The life and career of a lawyer are thrown into chaos when his sons wish magically renders him incapable of telling a lie
s207,LSD Love Sex Aur Dhokha,Movie,9,2010,112 min,This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India
s208,Mission Istaanbul Darr Ke Aagey Jeet Hai,Movie,8,2008,119 min,A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station
s209,Once Upon a Time in Mumbaai,Movie,7,2010,133 min,Mumbais top mob boss rules the underworld with honor and compassion but his powerhungry protg will shake up the world of organized crime
s210,Once Upon a Time in Mumbai Dobaara,Movie,4,2013,142 min,This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan who continues pressing for more control
s211,Ragini MMS,Movie,9,2011,93 min,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity
s212,Ragini MMS 2,Movie,6,2014,113 min,The horror continues when Raginis video goes viral and a sleazy director decides to make a movie about the incident in the original house
s213,Rebellion,TV Show,7,2016,2 Seasons,As World War I rages three women and their families in Dublin choose sides in the violent Easter Rising revolt against British rule
s214,RIDE ON TIME,TV Show,5,2021,3 Seasons,Take a deep dive into the beautiful world of Japans top male idol groups from number one producer Johnnys in this revealing docuseries
s215,SAS Rise of the Black Swan,Movie,7,2021,124 min,A special forces operative traveling from London to Paris with his girlfriend takes action when armed ruthless mercenaries seize control of their train
s216,Shootout at Lokhandwala,Movie,5,2007,116 min,Based on a true story this action film follows an incident that stunned a nation in the early 1990s In Mumbai India the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a sixhour bloody gunfight
s217,Shor In the City,Movie,9,2011,106 min,When three smalltime Mumbai crooks steal a bag on a train they find that its filled with weapons and realize that their lives may be in danger
s218,The Dirty Picture,Movie,4,2011,145 min,After running away from home in search of movie stardom a village girl rises to become a prominent sex symbol
s219,Titletown High,TV Show,9,2021,1 Season,In a Georgia town where football rules and winning is paramount a high school team tackles romance rivalries and real life while vying for a title
s220,EDENS ZERO,TV Show,9,2021,1 Season,Aboard the Edens Zero a lonely boy with the ability to control gravity embarks on an adventure to meet the fabled space goddess known as Mother
s221,Family Reunion,TV Show,7,2021,4 Seasons,When the McKellan family moves from Seattle to smalltown Georgia life down South  and traditional grandparents  challenge their bigcity ways
s222,Bob Ross Happy Accidents Betrayal & Greed,Movie,4,2021,93 min,Bob Ross brought joy to millions as the worlds most famous art instructor But a battle for his business empire cast a shadow over his happy trees
s223,Clickbait,TV Show,9,2021,1 Season,When family man Nick Brewer is abducted in a crime with a sinister online twist those closest to him race to uncover who is behind it and why
s224,John of God The Crimes of a Spiritual Healer,TV Show,6,2021,1 Season,Idolized medium Jo£o Teixeira de Faria rises to international fame before horrifying abuse is revealed by survivors prosecutors and the press
s225,Motel Makeover,TV Show,7,2021,1 Season,Amid project pitfalls and a pandemic bestiesturnedbusiness partners bring their design magic to a rundown motel and revamp it into a goto getaway
s226,Open Your Eyes,TV Show,6,2021,1 Season,After a tragic accident an amnesiac teen tries to rebuild her life at a memory disorders center but becomes suspicious of her unconventional treatment
s227,Post Mortem No One Dies in Skarnes,TV Show,8,2021,1 Season,Shes back from the dead and has a newfound thirst for blood Meanwhile her familys funeral parlor desperately needs more business Hmm what if
s228,Really Love,Movie,9,2020,95 min,A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student
s229,The November Man,Movie,4,2014,108 min,An exCIA agent emerges from retirement to protect an important witness but he soon discovers that old friends can make the most dangerous enemies
s230,The Old Ways,Movie,6,2020,90 min,A reporter visits her birthplace in Veracruz for a story about tribal culture only to be kidnapped by locals who believe shes demonically possessed
s231,The River Runner,Movie,4,2021,86 min,In this documentary a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibets sacred Mount Kailash
s232,The Water Man,Movie,4,2021,92 min,Desperate to save his ailing mother 11yearold Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death
s233,Wheel of Fortune,TV Show,9,2019,3 Seasons,Pat Sajak and Vanna White host one of TVs most popular longrunning game shows where players spin a wheel for prizes and solve mystery phrases
s234,Count Me In,Movie,4,2021,82 min,This documentary features some of rocks greatest drummers as they come together in an inspiring rhythmic journey about the power of human connection
s235,Oggy Oggy,TV Show,8,2021,1 Season,Join adorable kitten Oggy and his cast of cat pals in a bright and colorful kitty world Theyre always on the go for fun times and fantastic adventures
s236,Untold Caitlyn Jenner,Movie,9,2021,70 min,Caitlyn Jenners unlikely path to Olympic glory was inspirational But her more challenging road to embracing her true self proved even more meaningful
s237,Boomika,Movie,4,2021,122 min,Paranormal activity at a lush abandoned property alarms a group eager to redevelop the site but the eerie events may not be as unearthly as they think
s238,Boomika (Hindi),Movie,8,2021,122 min,Paranormal activity at a lush abandoned property alarms a group eager to redevelop the site but the eerie events may not be as unearthly as they think
s239,Boomika (Malayalam),Movie,4,2021,122 min,Paranormal activity at a lush abandoned property alarms a group eager to redevelop the site but the eerie events may not be as unearthly as they think
s240,Boomika (Telugu),Movie,4,2021,122 min,Paranormal activity at a lush abandoned property alarms a group eager to redevelop the site but the eerie events may not be as unearthly as they think
s241,The Witcher Nightmare of the Wolf,Movie,9,2021,84 min,Escaping from poverty to become a witcher Vesemir slays monsters for coin and glory but when a new menace rises he must face the demons of his past
s242,Manifest,TV Show,5,2021,3 Seasons,When a plane mysteriously lands years after takeoff the people onboard return to a world that has moved on without them and face strange new realities
s243,Comedy Premium League,TV Show,4,2021,1 Season,With satirical sketches cheeky debates and blistering roasts 16 of Indias wittiest entertainers compete in teams to be named the ultimate comedy champs
s244,Everything Will Be Fine,TV Show,7,2021,1 Season,A separated couple live together for their childs sake in this satirical dramedy about what it means to be a good parent and spouse in todays world
s245,Gunshot,Movie,5,2018,96 min,After a clash at a protest ends in bloodshed a forensic doctor and a journalist embark on a search for the elusive truth
s246,Korean Cold Noodle Rhapsody,TV Show,4,2021,1 Season,Refreshing and flavorful naengmyeon is Koreas coolest summertime staple A journey through its history begins from how its cooked to how its loved
s247,Man in Love,Movie,4,2021,115 min,When he meets a debtridden woman whos caring for her ailing father a debt collector with a heart of gold sets out to win her love
s248,Sweet Girl,Movie,5,2021,110 min,He lost the love of his life to a pharmaceutical companys greed Now his daughter is without a mother and hes without justice For now
s249,The Chair,TV Show,6,2021,1 Season,At a major university the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department
s250,The Loud House Movie,Movie,9,2021,88 min,With his parents and all 10 sisters in tow Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey
s251,A Faraway Land,Movie,4,2020,102 min,In the Faroe Islands a married woman meets a reporter filming a documentary on overseas Filipino workers which soon sparks a complicated love story
s252,Like Crazy,Movie,4,2011,91 min,A spirited exchange student and an American man fall in love in LA But their romance faces an uphill battle when she is forced to return to England
s253,Black Island,Movie,4,2021,105 min,The dark secrets of a seemingly peaceful island threaten to swallow up an orphaned student when he grows close to a mysterious new teacher
s254,Bombay,Movie,9,1995,135 min,Years after they elope against their familys wishes a couple and their sons become caught in the throes of conflict in their city
s255,Go Go Cory Carson,TV Show,6,2021,5 Seasons,Beep beep  go go Buckle up for fun and adventure with adorable kid car Cory Carson as he explores the winding roads of Bumperton Hills
s256,Memories of a Murderer The Nilsen Tapes,Movie,8,2021,86 min,Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell
s257,Nneka The Pretty Serpent,Movie,5,2020,140 min,Years after the mysterious murder of her parents a traumatized woman gains supernatural powers that aid in her quest for revenge against the killers
s258,O Kadhal Kanmani,Movie,5,2015,133 min,Its love at first sight for a young couple repelled by the concept of marriage but their view shifts when they meet their oldercouple neighbors
s259,Out of my league,Movie,8,2020,92 min,Tired of swiping through the dating scene with her besties in tow a charming yet awkward woman with a rare genetic disorder sets her sights on love
s260,Pahuna,Movie,4,2018,82 min,Fleeing unrest in their native Nepal three young siblings separated from their parents must beat the odds to survive on their own in India
s261,The Defeated,TV Show,5,2020,1 Season,In 1946 Berlin an American cop searches for his missing brother while helping a novice German policewoman fight the violent crimes engulfing the city
s262,The Secret Diary of an Exchange Student,Movie,9,2021,97 min,Looking to shake things up two best friends embark on a lifechanging adventure abroad as exchange students But can they stay out of trouble?
s263,Untold Deal With the Devil,Movie,5,2021,78 min,Christy Martin broke boundaries and noses as she rose in the boxing world but her public persona belied personal demons abuse and a threat on her life
s264,Mother Goose Club,TV Show,7,2016,2 Seasons,Classic nursery rhymes and childrens songs get a fresh twist in this highenergy program that helps kids learn as they dance and sing along
s265,Walk of Shame,Movie,9,2014,94 min,After a night of boozy carousing a local newscaster finds herself stranded on the streets of LA just hours before the job interview of a lifetime
s266,Rascal Does Not Dream of Bunny Girl Senpai,TV Show,5,2018,1 Season,After experiencing puberty syndrome himself high school pariah Sakuta keeps meeting girls suffering from it including his sister and actor Mai
s267,The Creative Indians,TV Show,4,2020,1 Season,From chefs and comedians to filmmakers and fashion designers Indias most notable imaginative minds share their artistic journeys
s268,The Piano,Movie,8,1993,121 min,With her daughter and her beloved piano in tow a mute Scottish woman arrives in New Zealand where a gruff loner sets out to seduce her
s269,Unroyal,Movie,7,2020,97 min,When a rude and arrogant princess finds herself relying on a gatekeeper after a terrible accident it may be enough to make her change her ways
s270,Winx Club,TV Show,8,2015,2 Seasons,In this animated fantasy a girl named Bloom befriends a band of fairies then follows them into the secretive and dangerous Magical Dimension
s271,Beckett,Movie,7,2021,110 min,An American tourist goes on the run in Greece after a tragic accident plunges him into a political conspiracy that makes him a target for assassination
s272,Brand New Cherry Flavor,TV Show,9,2021,1 Season,A filmmaker heads to Hollywood in the early 90s to make her movie but tumbles down a hallucinatory rabbit hole of sex magic revenge  and kittens
s273,Fast & Furious Spy Racers,TV Show,9,2021,5 Seasons,A government agency recruits teen driver Tony Toretto and his thrillseeking friends to infiltrate a criminal street racing circuit as undercover spies
s274,Gone for Good,TV Show,7,2021,1 Season,Ten years after losing two loved ones a man is plunged into another dizzying mystery when his girlfriend vanishes Based on a Harlan Coben novel
s275,Grace and Frankie,TV Show,7,2021,7 Seasons,Theyre not friends but when their husbands leave them for each other proper Grace and eccentric Frankie begin to bond in this Emmynominated series
s276,The Kingdom,TV Show,7,2021,1 Season,After his running mates murder a controversial televangelist becomes Argentinas presidential candidate But nothing about him is as holy as he seems
s277,Valeria,TV Show,5,2021,2 Seasons,A writer in creative and marital crises finds support from three friends who are also discovering themselves Based on the novels by El­sabet Benavent
s278,AlRawabi School for Girls,TV Show,6,2021,1 Season,The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors
s279,Lokillo Nothings the Same,Movie,7,2021,64 min,Through songs and puns comedian Lokillo Florez hilariously reviews how Latin Americans have adjusted to a new world where nohugging policies prevail
s280,Monster Hunter Legends of the Guild,Movie,7,2021,59 min,In a world where humans and fearsome monsters live in an uneasy balance young hunter Aiden fights to save his village from destruction by a dragon
s281,Bake Squad,TV Show,6,2021,1 Season,Expert bakers elevate desserts with nextlevel ideas and epic execution Now the battle is on to win over clients in need of very special sweets
s282,Brother Jekwu,Movie,5,2016,101 min,Chasing wild success a village hustler follows his cousin from Nigeria to Kenya and stumbles into the shady business affairs of a notorious overlord
s283,La diosa del asfalto,Movie,7,2020,127 min,A woman from a tough neighborhood outside Mexico City comes home a rock star inadvertently provoking a confrontation with the ghosts of her past
s284,Misha and the Wolves,Movie,8,2021,90 min,As a little girl she escaped the Holocaust and lived among wolves Or did she? An extraordinary story elicits sympathy  then draws scrutiny
s285,The Kissing Booth 3,Movie,7,2021,114 min,Determined to make the most of her final summer before college Elle plans the ultimate bucket list as she navigates what comes next with Noah and Lee
s286,The Railway Man,Movie,8,2013,108 min,Decades after World War II a stillshattered soldier unexpectedly falls in love and sees a bizarre coincidence bring his past back into focus
s287,Gabbys Dollhouse,TV Show,9,2021,2 Seasons,Cute cats quirky crafts and colorful magic Join kitty enthusiast Gabby and her sidekick Pandy Paws as they team up for a series of animated adventures
s288,I Need Romance,TV Show,8,2021,1 Season,A workaholic who lost interest in romance reunites with an old flame and gifted music composer whos determined to restore her belief in love
s289,Las mu±ecas de la mafia,TV Show,9,2018,1 Season,Based on the book Las Fant¡sticas this exciting telenovela follows the tumultuous lives of five women who get mixed up with the Mafia
s290,The Crowned Clown,TV Show,7,2019,1 Season,Standing in for an unhinged Joseon king a lookalike clown plays the part but increasingly becomes devoted to protecting the throne and the people
s291,Untold Malice at the Palace,Movie,4,2021,70 min,Key figures from an infamous 2004 incident between players and fans at an NBA game in Michigan discuss the fight its fallout and its lasting legacy
s292,SHAMAN KING,TV Show,4,2021,1 Season,Medium Yoh Asakura enters a battle tournament held every 500 years competing with other shamans in a bid to become the allpowerful Shaman King
s293,Quartet,Movie,7,2012,98 min,To save their posh retirement home former opera stars plan a gala recital  until the biggest diva among them refuses to sing
s294,Slay,Movie,8,2021,86 min,In pursuit of both success and validation a group of techsavvy individuals juggle intimate encounters first impressions and romantic opportunities
s295,Takizawa Kabuki ZERO 2020 The Movie,Movie,8,2020,139 min,Superstar Hideaki Takizawa reimagines his acclaimed kabuki production for the screen featuring the dynamic talents of idol group Snow Man
s296,The Paper Tigers,Movie,9,2021,111 min,After reuniting as middleaged men three kungfu prodigies must set their differences aside and dust off their skills to avenge their beloved mentor
s297,Hit & Run,TV Show,9,2021,1 Season,A man searching for the truth behind his wifes death becomes caught up in a dangerous web of secrets and intrigue stretching from New York to Tel Aviv
s298,Navarasa,TV Show,7,2021,1 Season,From amusement to awe the nine human emotions of Indian aesthetic theory are explored in this anthology series
s299,Quams Money,Movie,4,2020,115 min,In this sequel to New Money Quam a security guard turned multimillionaire lives the good life with his fortune until he falls victim to fraud
s300,The Swarm,Movie,9,2021,102 min,A single mother breeds locusts as highprotein food but has trouble getting them to reproduce  until she finds they have a taste for blood
s301,Vivo,Movie,7,2021,100 min,A musicloving kinkajou embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend
s302,Chennai Express,Movie,6,2013,135 min,What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfathers ashes
s303,City of God 10 Years Later,Movie,5,2013,69 min,A decade after the seminal Brazilian film City of God this documentary reunites some of the cast and crew to find out what paths their lives took
s304,Esperando la carroza,Movie,7,1985,95 min,Cora has three sons and a daughter and she´s almost 80 One day during a family reunion the big question comes up who will be her heir?
s305,Lady Boss The Jackie Collins Story,Movie,6,2021,97 min,Queen of Sleaze or feminist pioneer? Powerhouse novelist Jackie Collins created a brash sexpositive persona while hiding her private struggles
s306,Tango Feroz,Movie,5,1993,124 min,One of the first rock stars in Argentina Tango leads a full life during an era of social unrest  one of both glory and despair
s307,76,Movie,5,2016,118 min,When her husband is accused of taking part in an attempted military coup a pregnant womans life takes an emotional turn Inspired by true events
s308,Aftermath,Movie,9,2021,115 min,Desperate to save their marriage a young couple takes a deal and moves into their dream home but disturbing events reveal the houses troubled history
s309,American Masters Inventing David Geffen,Movie,5,2012,115 min,The son of Jewish immigrants David Geffen emerged from a humble upbringing to become one of the most powerful media personalities in America
s310,Car Masters Rust to Riches,TV Show,5,2021,3 Seasons,The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks trading up to a showstopper they can sell for big bucks
s311,Cocaine Cowboys The Kings of Miami,TV Show,4,2021,1 Season,Two childhood friends go from high school dropouts to the most powerful drug kingpins in Miami in this true story of a crime saga that spanned decades
s312,Control Z,TV Show,5,2021,2 Seasons,When a hacker begins releasing students secrets to the entire high school the socially isolated but observant Sof­a works to uncover hisher identity
s313,Cooking With Paris,TV Show,4,2021,1 Season,With an anyonecancook attitude Paris Hilton adds her own flair to every dish Fun is just one edible glitter bomb away on this unique cooking show
s314,Autumns Concerto,TV Show,4,2009,1 Season,After losing all memories of his past a wealthy lawyer travels to a rural village where a woman he once loved now lives with her son
s315,Heavy,Movie,8,1995,104 min,Overweight Victor hides from the world making pizzas in his mothers gloomy dive until a new waitress blows in and disrupts his isolation
s316,Ije The Journey,Movie,5,2010,106 min,When her sister is accused of multiple murders a Nigerian woman travels to Los Angeles to uncover the truth and fight for her siblings freedom
s317,Office Girls,TV Show,6,2011,1 Season,A department store mogul has his son work incognito in a menial job to prove his worthiness while female coworkers teach him how normal people live
s318,Pray Away,Movie,8,2021,102 min,Exleaders and a survivor of the socalled conversion therapy movement speak out about its harm to the LGBTQ+ community and its devastating persistence
s319,Shiny_Flakes The Teenage Drug Lord,Movie,7,2021,97 min,Max S reveals how he built a drug empire from his childhood bedroom in this story that inspired the series How to Sell Drugs Online (Fast)
s320,The Prince Who Turns into a Frog,TV Show,4,2005,1 Season,Before his wedding a cold CEO is hit by a car and awakens a changed man As he and the driver fall in love more changes appear on the road ahead
s321,Top Secret UFO Projects Declassified,TV Show,8,2021,1 Season,Though claims of extraterrestrial encounters have long been dismissed many believe the existence of UFOs is not just likely but a certainty
s322,Two Fathers,TV Show,5,2013,1 Season,When two single guys learn a woman they both slept with disappeared after giving birth they decide to raise her baby girl together as a family
s323,Youre My Destiny,TV Show,8,2008,1 Season,A young womans romantic cruise ends in a twist when she gets pregnant after a onenight stand with a rich executive turning their lives upside down
s324,30 Rock,TV Show,7,2012,7 Seasons,Liz Lemon juggles the demands of running an NBC sketch comedy show with trying to fix her disaster of a personal life and eating her night cheese
s325,44 Cats,TV Show,5,2020,3 Seasons,Pawesome tales abound when singing furry friends Lampo Milady Pilou and Meatball band together
s326,Beethoven,Movie,5,1992,87 min,A father reluctantly agrees to let his children keep a St Bernard puppy but the playful pooch soon turns into a fullgrown engine of destruction
s327,Beethovens 2nd,Movie,9,1993,88 min,After St Bernard Beethoven sires a brood with Missy he and the Newton kids must intervene when Missys owner tries to sell the puppies
s328,Beowulf,Movie,9,2007,114 min,This deftly animated take on a legendary Old English epic tells the timeless tale of a Scandinavian hero whos known for slaying dragons
s329,Boyka Undisputed,Movie,9,2016,90 min,The fourth film in the action franchise finds Boyka taking on brutal gangsters to protect the widow of a man he unintentionally killed in the ring
s330,Catch Me If You Can,Movie,8,2002,142 min,An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr behind bars But Frank not only eludes capture he revels in the pursuit
s331,Cloudy with a Chance of Meatballs,Movie,5,2009,90 min,When inventor Flint Lockwood makes clouds rain food the citizens of Chewandswallow can feed themselves But a bowl of disaster is about to overflow
s332,Darwins Game,TV Show,6,2020,1 Season,High schooler Kaname activates a mysterious mobile app and unwittingly joins a game pitting players with supernatural abilities against each other
s333,Deep Blue Sea,Movie,7,1999,105 min,Scientists conduct research on sharks in search of an Alzheimers cure But a dangerous shortcut leads to huge sharks with nearhuman intelligence
s334,Ferris Buellers Day Off,Movie,9,1986,103 min,After faking an illness to skip school popular teen Ferris Bueller enjoys a funfilled day in Chicago with his girlfriend and his uptight best friend
s335,Five Feet Apart,Movie,6,2019,116 min,A teen with cystic fibrosis shakes up her daily routine and challenges hospital protocol when she falls for a fellow patient
s336,Freedomland,Movie,9,2006,113 min,When a woman reports that her infant son was kidnapped by a black man an African American detective and a white activist team up to dig for details
s337,Friday Night Lights,TV Show,5,2010,5 Seasons,Eric Taylor faces enormous pressure when he signs on as the new coach of a smalltown Texas football team thats poised to win the state championship
s338,Good Luck Chuck,Movie,7,2007,99 min,Every time Chuck breaks up with a girlfriend she ends up engaged to her next boyfriend Soon women are dating Chuck in hopes of meeting Mr Right
s339,Hunter X Hunter (2011),TV Show,4,2014,6 Seasons,To fulfill his dreams of becoming a legendary Hunter like his dad a young boy must pass a rigorous examination and find his missing father
s340,I missed you Directors Cut,Movie,5,2021,96 min,A workaholic reconnects with two men she blocked on social media five years ago and begins to reflect on her past life choices
s341,Inception,Movie,7,2010,148 min,A troubled thief who extracts secrets from peoples dreams takes one last job leading a dangerous mission to plant an idea in a targets subconscious
s342,Magnolia,Movie,8,1999,189 min,Through chance history and divine intervention a cast of eclectic characters weaves and warps through each others lives on a random day in California
s343,Major Payne,Movie,5,1995,97 min,A hardened Marine is given his marching orders and must now lead a disorderly group of mismatched cadets into a junior ROTC competition
s344,My Girl,Movie,6,1991,102 min,This comingofage charmer follows a summer in the life of an 11yearold girl who learns about love and loss as she grapples with profound changes
s345,My Girl 2,Movie,4,1994,99 min,A teen makes surprising discoveries when she talks to her dead mothers high school friends for an essay about someone she admires but has never met
s346,Open Season Scared Silly,Movie,8,2015,85 min,When a spooky werewolf tale scares Boog out of joining the annual camping trip his friends hatch a plan to cure him of his fear
s347,Pineapple Express,Movie,7,2008,112 min,After witnessing a murder a perpetually stoned process server and his goodnatured dealer go on the run from a drug lord whos out to kill them
s348,Planet 51,Movie,5,2009,91 min,After landing on a planet reminiscent of 1950s suburbia a human astronaut tries to avoid capture recover his spaceship and make it home safely
s349,Poms,Movie,8,2019,91 min,After moving to a retirement community loner Martha befriends a funloving neighbor and forms a cheerleading club for youngatheart seniors
s350,Seabiscuit,Movie,6,2003,141 min,An ungainlylooking colt becomes a winning thoroughbred in this Depressionera drama based on the true story of champion racehorse Seabiscuit
s351,Space Cowboys,Movie,7,2000,130 min,A retired engineer agrees to help NASA prevent a Russian satellite from falling to Earth if he and his overthehill pals can man the mission
s352,Team America World Police,Movie,4,2004,98 min,In this musical satire an allmarionette police force takes on the challenging role of keeping the peace on a troubled planet
s353,The Edge of Seventeen,Movie,7,2016,105 min,A troubled teenager finds high school life even less bearable after she catches her childhood best friend hooking up with her popular older brother
s354,The Haunting in Connecticut 2 Ghosts of Georgia,Movie,6,2013,101 min,A couples Georgia dream home becomes a living nightmare when their daughter begins to have frightening visions from the propertys terrible past
s355,The Last Boy Scout,Movie,7,1991,105 min,Private eye Joe Hallenbeck is forced to team up with a disgraced quarterback to uncover a conspiracy by a politician and a football team owner
s356,The Lincoln Lawyer,Movie,4,2011,118 min,A streetwise defense lawyer who operates out of the back seat of his Lincoln lands a highprofile case that soon puts him and his family in danger
s357,The Losers,Movie,5,2010,97 min,After a searchanddestroy mission leads to betrayal an elite black ops squad seeks revenge But they must remain deep undercover to even the score
s358,The Machinist,Movie,9,2004,102 min,Haunted and gaunt after a prolonged bout of insomnia factory worker Trevor Reznik begins to question his sanity amid a series of mysterious events
s359,The Net,Movie,5,1995,114 min,A computer analyst becomes a target after she stumbles onto a conspiracy via a mysterious floppy disk forcing her to go on the run to clear her name
s360,The Original Kings of Comedy,Movie,4,2000,111 min,Comedians Steve Harvey Cedric the Entertainer DL Hughley and Bernie Mac hit the stage in an iconic standup concert directed by Spike Lee
s361,Valentines Day,Movie,9,2010,125 min,The tripwires of modern love are exposed in a carousel involving relationships and the single life on the most romantic day of the year February 14
s362,Charmed,TV Show,9,2021,3 Seasons,After their mothers tragic death a trio of sisters bond over their newfound powers vanquish demons and band together to defend their magical legacy
s363,The Lost Caf,Movie,6,2018,76 min,An aspiring filmmaker grapples with her decision to study abroad in Norway when she meets an insightful but peculiar owner of a curious coffee shop
s364,The Vault,Movie,8,2021,118 min,A genius engineer and his crew of amateur thieves plot a scheme to seize a legendary lost treasure hidden in a fortress beneath the Bank of Spain
s365,Centaurworld,TV Show,9,2021,1 Season,On a quest to reunite with her trusty rider a fearless war horse journeys through a whimsical world filled with magic adventure and singing centaurs
s366,Eyes of a Thief,Movie,5,2014,103 min,After a decade in prison a Palestinian man with a dark secret returns to the West Bank and searches for the daughter he lost long ago
s367,Glow Up,TV Show,4,2021,3 Seasons,In this competition show aspiring makeup artists navigate colorful challenges to win a careermaking opportunity in the beauty industry
s368,Im Glad I Did,Movie,7,2020,114 min,Glimpse into the life and decadeslong career of Turkish performer Metin AkpÄ±nar through personal interviews with him and his contemporaries
s369,Khawatir,TV Show,8,2009,1 Season,Saudi media personality Ahmad Al Shugairi travels around the world on a quest for knowledge in various cities while offering his personal reflections
s370,Myth & Mogul John DeLorean,TV Show,5,2021,1 Season,In the automotive world John DeLorean rose from engineer to executive to icon But under the hood of his selfcreated legend lies darkness and deceit
s371,Outer Banks,TV Show,4,2021,2 Seasons,On an island of haves and havenots teen John B enlists his three best friends to hunt for a legendary treasure linked to his fathers disappearance
s372,Pomegranates and Myrrh,Movie,6,2009,95 min,After her husband is placed under Israeli detention a Palestinian newlywed is left to deal with the fallout resorting to her passion for Dabke to cope
s373,Rurouni Kenshin The Beginning,Movie,6,2021,138 min,Before he was a protector Kenshin was a fearsome assassin known as Battosai But when he meets the gentle Tomoe Yukishiro his story begins to change
s374,The Last Mercenary,Movie,8,2021,112 min,A legendary secret agentturnedmercenary comes out of hiding to save the son hes never met Learning how to be a dad may be his toughest mission yet
s375,Flower Girl,Movie,8,2013,94 min,When a young florist whos long dreamed of her wedding day gets dumped by her boyfriend she sets out to win him back with help from a handsome actor
