showid,moviename,type,rating,year,duration,description
s40,Chhota Bheem,TV Show,8,2021,3 Seasons,A brave energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil
s41,HeMan and the Masters of the Universe,TV Show,6,2021,1 Season,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull  and their destiny to defend Eternia from sinister Skeletor
s42,Jaws,Movie,6,1975,124 min,When an insatiable great white shark terrorizes Amity Island a police chief an oceanographer and a grizzled shark hunter seek to destroy the beast
s43,Jaws 2,Movie,9,1978,116 min,Four years after the last deadly shark attacks police chief Martin Brody fights to protect Amity Island from another killer great white
s44,Jaws 3,Movie,6,1983,98 min,After the staff of a marine theme park try to capture a young great white shark they discover its mother has invaded the enclosure and is out for blood
s45,Jaws The Revenge,Movie,4,1987,91 min,After another deadly shark attack Ellen Brody has had enough of Amity Island and moves to the Caribbean  but a great white shark follows her there
s46,My Heroes Were Cowboys,Movie,9,2021,23 min,Robin Wiltshires painful childhood was rescued by Westerns Now he lives on the frontier of his dreams training the horses he loves for the big screen
s47,Safe House,Movie,6,2012,115 min,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house thats come under attack and get him to a securer location
s48,The Smart Money Woman,TV Show,5,2020,1 Season,Five glamorous millennials strive for success as they juggle careers finances love and friendships Based on Arese Ugwus 2016 bestselling novel
s49,Training Day,Movie,4,2001,122 min,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentors questionable brand of justice
s50,Castle and Castle,TV Show,6,2021,2 Seasons,A pair of highpowered successful lawyers find themselves defending opposite interests of the justice system causing a strain on their happy marriage
s51,Dharmakshetra,TV Show,6,2014,1 Season,After the ancient Great War the god Chitragupta oversees a trial to determine who were the battles true heroes and villains
s52,InuYasha the Movie 2 The Castle Beyond the Looking Glass,Movie,9,2002,99 min,With their biggest foe seemingly defeated InuYasha and his friends return to everyday life But the peace is soon shattered by an emerging new enemy
s53,InuYasha the Movie 3 Swords of an Honorable Ruler,Movie,6,2003,99 min,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons Now the evil power of the third sword has been awakened
s54,InuYasha the Movie 4 Fire on the Mystic Island,Movie,9,2004,88 min,Ai a young halfdemon who has escaped from Horai Island to try to help her people returns with potential saviors InuYasha Sesshomaru and Kikyo
s55,InuYasha the Movie Affections Touching Across Time,Movie,8,2001,100 min,A powerful demon has been sealed away for 200 years But when the demons son is awakened the fate of the world is in jeopardy
s56,Nailed It,TV Show,5,2021,6 Seasons,Home bakers with a terrible track record take a crack at recreating edible masterpieces for a 10000 prize Its part reality contest part hot mess
